id,name,height,weight,hp,attack,defense,s_attack,s_defense,speed,type,evo_set,info,total_stats,physical_bias,offensive_bias,stat_variance,weight_height_ratio,evo_set_size,hp_category,attack_category,defense_category,s_attack_category,s_defense_category,speed_category,total_stats_category
1,bulbasaur,7,69,45,49,49,65,65,45,"{grass,poison}",1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,318,0.7538461538461538,1.0,74.66666666666667,9.857142857142858,3,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
2,ivysaur,10,130,60,62,63,80,80,60,"{grass,poison}",1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",405,0.78125,0.993006993006993,79.25,13.0,3,Low,Low,Low,Medium,Medium,Low,Low
3,venusaur,20,1000,80,82,83,100,100,80,"{grass,poison}",1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,525,0.825,0.994535519125683,79.25,50.0,3,Medium,Medium,Medium,High,High,Medium,High
4,charmander,6,85,39,52,43,60,50,65,{fire},2,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",309,0.8636363636363636,1.2043010752688172,80.91666666666667,14.166666666666666,3,Very Low,Very Low,Very Low,Low,Very Low,Low,Very Low
5,charmeleon,11,190,58,64,58,80,65,80,{fire},2,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",405,0.8413793103448276,1.170731707317073,85.25,17.272727272727273,3,Low,Low,Low,Medium,Low,Medium,Low
6,charizard,17,905,78,84,78,109,85,100,"{fire,flying}",2,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,534,0.8350515463917526,1.1840490797546013,134.0,53.23529411764706,3,Medium,Medium,Medium,High,Medium,High,Very High
7,squirtle,5,90,44,48,65,50,64,43,{water},3,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",314,0.9912280701754386,0.7596899224806202,79.55555555555556,18.0,3,Very Low,Very Low,Low,Low,Low,Very Low,Low
8,wartortle,10,225,59,63,80,65,80,58,{water},3,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",405,0.9862068965517241,0.8,83.58333333333333,22.5,3,Low,Low,Medium,Low,Medium,Low,Low
9,blastoise,16,855,79,83,100,85,105,78,{water},3,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,530,0.9631578947368421,0.8195121951219512,107.8888888888889,53.4375,3,Medium,Medium,High,Medium,High,Medium,Very High
10,caterpie,3,29,45,30,35,20,20,45,{bug},4,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,195,1.625,0.9090909090909091,106.25,9.666666666666666,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
11,metapod,7,99,50,20,55,25,25,30,{bug},4,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",205,1.5,0.5625,178.4722222222222,14.142857142857142,3,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low
